method,pi,sep,rep,k_hat
silhouette,0.02,3.0,8,3
silhouette,0.02,3.0,9,6
silhouette,0.02,3.0,10,2
silhouette,0.02,3.0,11,2
silhouette,0.02,3.0,12,7
silhouette,0.02,3.0,13,2
silhouette,0.02,3.0,14,2
silhouette,0.02,4.0,0,2
silhouette,0.02,4.0,1,8
silhouette,0.02,4.0,2,2
silhouette,0.02,4.0,3,2
silhouette,0.02,4.0,4,2
silhouette,0.02,4.0,5,2
silhouette,0.02,4.0,6,2
silhouette,0.02,4.0,7,2
silhouette,0.02,4.0,8,2
silhouette,0.02,4.0,9,7
silhouette,0.02,4.0,10,2
silhouette,0.02,4.0,11,3
silhouette,0.02,4.0,12,2
silhouette,0.02,4.0,13,2
silhouette,0.02,4.0,14,2
silhouette,0.05,3.0,0,2
silhouette,0.05,3.0,1,2
silhouette,0.05,3.0,2,2
silhouette,0.05,3.0,3,2
silhouette,0.05,3.0,4,2
silhouette,0.05,3.0,5,2
silhouette,0.05,3.0,6,2
silhouette,0.05,3.0,7,2
silhouette,0.05,3.0,8,2
silhouette,0.05,3.0,9,2
silhouette,0.05,3.0,10,2
silhouette,0.05,3.0,11,3
silhouette,0.05,3.0,12,2
silhouette,0.05,3.0,13,2
silhouette,0.05,3.0,14,2
silhouette,0.05,4.0,0,2
silhouette,0.05,4.0,1,2
silhouette,0.05,4.0,2,2
silhouette,0.05,4.0,3,2
silhouette,0.05,4.0,4,2
silhouette,0.05,4.0,5,2
silhouette,0.05,4.0,6,2
silhouette,0.05,4.0,7,2
silhouette,0.05,4.0,8,2
silhouette,0.05,4.0,9,2
silhouette,0.05,4.0,10,2
silhouette,0.05,4.0,11,2
silhouette,0.05,4.0,12,2
silhouette,0.05,4.0,13,2
silhouette,0.05,4.0,14,2
silhouette,0.1,3.0,0,2
silhouette,0.1,3.0,1,2
silhouette,0.1,3.0,2,2
silhouette,0.1,3.0,3,2
silhouette,0.1,3.0,4,2
silhouette,0.1,3.0,5,2
silhouette,0.1,3.0,6,2
silhouette,0.1,3.0,7,2
silhouette,0.1,3.0,8,2
silhouette,0.1,3.0,9,2
silhouette,0.1,3.0,10,2
silhouette,0.1,3.0,11,2
silhouette,0.1,3.0,12,2
silhouette,0.1,3.0,13,2
silhouette,0.1,3.0,14,2
silhouette,0.1,4.0,0,2
silhouette,0.1,4.0,1,2
silhouette,0.1,4.0,2,2
silhouette,0.1,4.0,3,2
silhouette,0.1,4.0,4,2
silhouette,0.1,4.0,5,2
silhouette,0.1,4.0,6,2
silhouette,0.1,4.0,7,2
silhouette,0.1,4.0,8,2
silhouette,0.1,4.0,9,2
silhouette,0.1,4.0,10,2
