dataset,window,dom_class,method,k_hat
Salinas,Salinas:29,15,classical_gap,1
Salinas,Salinas:29,15,silhouette,3
Salinas,Salinas:29,15,calinski_harabasz,4
Salinas,Salinas:29,15,davies_bouldin,4
Salinas,Salinas:29,15,decluster_dip,1
Salinas,Salinas:29,15,ess_dip,1
Salinas,Salinas:29,15,ess_dip_detrend,1
Salinas,Salinas:29,15,ess_dip_adaptive,1
Salinas,Salinas:29,15,ess_dip_local,1
Salinas,Salinas:32,15,classical_gap,1
Salinas,Salinas:32,15,silhouette,2
Salinas,Salinas:32,15,calinski_harabasz,2
Salinas,Salinas:32,15,davies_bouldin,5
Salinas,Salinas:32,15,decluster_dip,1
Salinas,Salinas:32,15,ess_dip,1
Salinas,Salinas:32,15,ess_dip_detrend,1
Salinas,Salinas:32,15,ess_dip_adaptive,1
Salinas,Salinas:32,15,ess_dip_local,1
Salinas,Salinas:35,6,classical_gap,1
Salinas,Salinas:35,6,silhouette,2
Salinas,Salinas:35,6,calinski_harabasz,2
Salinas,Salinas:35,6,davies_bouldin,2
Salinas,Salinas:35,6,decluster_dip,1
Salinas,Salinas:35,6,ess_dip,1
Salinas,Salinas:35,6,ess_dip_detrend,1
Salinas,Salinas:35,6,ess_dip_adaptive,1
Salinas,Salinas:35,6,ess_dip_local,1
Salinas,Salinas:36,15,classical_gap,2
Salinas,Salinas:36,15,silhouette,3
Salinas,Salinas:36,15,calinski_harabasz,3
Salinas,Salinas:36,15,davies_bouldin,3
Salinas,Salinas:36,15,decluster_dip,1
Salinas,Salinas:36,15,ess_dip,1
Salinas,Salinas:36,15,ess_dip_detrend,1
Salinas,Salinas:36,15,ess_dip_adaptive,1
Salinas,Salinas:36,15,ess_dip_local,1
Salinas,Salinas:26,7,classical_gap,2
Salinas,Salinas:26,7,silhouette,2
Salinas,Salinas:26,7,calinski_harabasz,2
Salinas,Salinas:26,7,davies_bouldin,2
Salinas,Salinas:26,7,decluster_dip,2
Salinas,Salinas:26,7,ess_dip,1
Salinas,Salinas:26,7,ess_dip_detrend,1
Salinas,Salinas:26,7,ess_dip_adaptive,1
Salinas,Salinas:26,7,ess_dip_local,1
Salinas,Salinas:38,15,classical_gap,1
Salinas,Salinas:38,15,silhouette,2
Salinas,Salinas:38,15,calinski_harabasz,2
Salinas,Salinas:38,15,davies_bouldin,3
Salinas,Salinas:38,15,decluster_dip,1
Salinas,Salinas:38,15,ess_dip,1
Salinas,Salinas:38,15,ess_dip_detrend,1
Salinas,Salinas:38,15,ess_dip_adaptive,1
Salinas,Salinas:38,15,ess_dip_local,1
Salinas,Salinas:33,15,classical_gap,2
Salinas,Salinas:33,15,silhouette,2
Salinas,Salinas:33,15,calinski_harabasz,2
Salinas,Salinas:33,15,davies_bouldin,2
Salinas,Salinas:33,15,decluster_dip,1
