row,col,panel,label
11,44,truth,c1
11,45,truth,c1
11,46,truth,c1
11,47,truth,c1
11,48,truth,c1
11,49,truth,c1
11,50,truth,c1
11,51,truth,c2
11,52,truth,c2
11,53,truth,c2
11,54,truth,c2
11,55,truth,c2
11,56,truth,c2
11,57,truth,c2
11,58,truth,c2
11,59,truth,c2
11,60,truth,c2
11,61,truth,c2
11,62,truth,c2
11,63,truth,c0
11,64,truth,c1
11,65,truth,c1
11,66,truth,c1
11,67,truth,c1
11,68,truth,c1
11,69,truth,c1
11,70,truth,c1
11,71,truth,c1
11,72,truth,c1
11,73,truth,c1
11,74,truth,c1
11,75,truth,c1
11,76,truth,c1
11,77,truth,c1
11,78,truth,c1
11,79,truth,c1
11,80,truth,c1
11,81,truth,c1
11,82,truth,c1
11,83,truth,c1
11,84,truth,c1
11,85,truth,c1
11,86,truth,c1
11,87,truth,c0
11,88,truth,c0
11,89,truth,c0
11,90,truth,c0
11,91,truth,c0
11,92,truth,c0
11,93,truth,c0
11,94,truth,c0
11,95,truth,c0
12,0,truth,c0
12,1,truth,c0
12,2,truth,c0
12,3,truth,c0
12,4,truth,c0
12,5,truth,c0
12,6,truth,c0
12,7,truth,c0
12,8,truth,c0
12,9,truth,c0
12,10,truth,c0
12,11,truth,c0
12,12,truth,c0
12,13,truth,c0
12,14,truth,c0
12,15,truth,c0
12,16,truth,c0
12,17,truth,c0
12,18,truth,c0
12,19,truth,c0
12,20,truth,c0
12,21,truth,c0
12,22,truth,c0
12,23,truth,c0
12,24,truth,c0
12,25,truth,c0
12,26,truth,c0
12,27,truth,c0
12,28,truth,c0
12,29,truth,c0
12,30,truth,c2
12,31,truth,c2
12,32,truth,c2
12,33,truth,c2
12,34,truth,c2
12,35,truth,c2
12,36,truth,c2
12,37,truth,c2
12,38,truth,c2
12,39,truth,c2
12,40,truth,c1
12,41,truth,c1
12,42,truth,c1
12,43,truth,c1
12,44,truth,c1
12,45,truth,c1
12,46,truth,c1
12,47,truth,c1
12,48,truth,c1
12,49,truth,c1
12,50,truth,c1
12,51,truth,c2
12,52,truth,c2
12,53,truth,c2
12,54,truth,c2
12,55,truth,c2
12,56,truth,c2
12,57,truth,c2
12,58,truth,c2
12,59,truth,c2
12,60,truth,c2
12,61,truth,c2
12,62,truth,c2
12,63,truth,c0
12,64,truth,c1
12,65,truth,c1
12,66,truth,c1
12,67,truth,c1
12,68,truth,c1
12,69,truth,c1
12,70,truth,c1
12,71,truth,c1
12,72,truth,c1
12,73,truth,c1
12,74,truth,c1
12,75,truth,c1
12,76,truth,c1
12,77,truth,c1
12,78,truth,c1
12,79,truth,c1
12,80,truth,c1
12,81,truth,c1
12,82,truth,c1
12,83,truth,c1
12,84,truth,c1
12,85,truth,c1
12,86,truth,c1
12,87,truth,c0
12,88,truth,c0
12,89,truth,c0
12,90,truth,c0
12,91,truth,c0
12,92,truth,c0
12,93,truth,c0
12,94,truth,c0
12,95,truth,c0
13,0,truth,c0
13,1,truth,c0
13,2,truth,c0
13,3,truth,c0
13,4,truth,c0
13,5,truth,c0
13,6,truth,c0
13,7,truth,c0
13,8,truth,c0
13,9,truth,c0
13,10,truth,c0
13,11,truth,c0
13,12,truth,c0
13,13,truth,c0
13,14,truth,c0
13,15,truth,c0
13,16,truth,c0
13,17,truth,c0
13,18,truth,c0
13,19,truth,c0
13,20,truth,c0
13,21,truth,c0
13,22,truth,c0
13,23,truth,c0
13,24,truth,c0
13,25,truth,c0
13,26,truth,c0
13,27,truth,c0
13,28,truth,c0
13,29,truth,c2
13,30,truth,c2
13,31,truth,c2
13,32,truth,c2
13,33,truth,c2
13,34,truth,c2
13,35,truth,c2
13,36,truth,c2
13,37,truth,c2
13,38,truth,c2
13,39,truth,c2
13,40,truth,c2
13,41,truth,c1
13,42,truth,c1
13,43,truth,c1
13,44,truth,c1
13,45,truth,c1
13,46,truth,c1
13,47,truth,c1
13,48,truth,c1
13,49,truth,c1
13,50,truth,c1
13,51,truth,c1
13,52,truth,c2
13,53,truth,c2
13,54,truth,c2
13,55,truth,c2
13,56,truth,c2
13,57,truth,c2
13,58,truth,c2
13,59,truth,c2
13,60,truth,c2
13,61,truth,c2
13,62,truth,c2
13,63,truth,c0
13,64,truth,c1
13,65,truth,c1
13,66,truth,c1
13,67,truth,c1
13,68,truth,c1
13,69,truth,c1
13,70,truth,c1
13,71,truth,c1
13,72,truth,c1
13,73,truth,c1
13,74,truth,c1
13,75,truth,c1
13,76,truth,c1
13,77,truth,c1
13,78,truth,c1
13,79,truth,c1
13,80,truth,c1
13,81,truth,c1
13,82,truth,c1
13,83,truth,c1
13,84,truth,c1
13,85,truth,c1
13,86,truth,c1
13,87,truth,c0
13,88,truth,c0
13,89,truth,c0
13,90,truth,c0
13,91,truth,c0
13,92,truth,c0
13,93,truth,c0
13,94,truth,c0
13,95,truth,c0
14,0,truth,c0
14,1,truth,c0
14,2,truth,c0
14,3,truth,c0
14,4,truth,c0
14,5,truth,c0
14,6,truth,c0
14,7,truth,c0
14,8,truth,c0
14,9,truth,c0
14,10,truth,c0
14,11,truth,c0
14,12,truth,c0
14,13,truth,c0
14,14,truth,c0
14,15,truth,c0
14,16,truth,c0
14,17,truth,c0
14,18,truth,c0
14,19,truth,c0
14,20,truth,c0
14,21,truth,c0
14,22,truth,c0
14,23,truth,c0
14,24,truth,c0
14,25,truth,c0
14,26,truth,c0
14,27,truth,c0
14,28,truth,c2
14,29,truth,c2
14,30,truth,c2
14,31,truth,c2
14,32,truth,c2
14,33,truth,c2
14,34,truth,c2
14,35,truth,c2
14,36,truth,c2
14,37,truth,c2
14,38,truth,c2
14,39,truth,c2
14,40,truth,c2
14,41,truth,c2
14,42,truth,c1
14,43,truth,c1
14,44,truth,c1
14,45,truth,c1
14,46,truth,c1
14,47,truth,c1
14,48,truth,c1
14,49,truth,c1
14,50,truth,c1
14,51,truth,c1
