kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
null,,,9.0,,,2,9,1,classical_gap,8
null,,,9.0,,,2,9,1,silhouette,6
null,,,9.0,,,2,9,1,calinski_harabasz,8
null,,,9.0,,,2,9,1,davies_bouldin,8
null,,,9.0,,,2,9,1,decluster_dip,1
null,,,9.0,,,2,9,1,ess_dip,1
null,,,9.0,,,2,9,1,ess_dip_detrend,1
null,,,9.0,,,2,9,1,ess_dip_adaptive,1
null,,,9.0,,,2,9,1,ess_dip_local,1
trend,,,,1.5,,3,2,1,classical_gap,8
trend,,,,1.5,,3,2,1,silhouette,2
trend,,,,1.5,,3,2,1,calinski_harabasz,2
trend,,,,1.5,,3,2,1,davies_bouldin,4
trend,,,,1.5,,3,2,1,decluster_dip,1
trend,,,,1.5,,3,2,1,ess_dip,1
trend,,,,1.5,,3,2,1,ess_dip_detrend,1
trend,,,,1.5,,3,2,1,ess_dip_adaptive,1
trend,,,,1.5,,3,2,1,ess_dip_local,1
null,,,9.0,,,2,11,1,classical_gap,1
null,,,9.0,,,2,11,1,silhouette,8
null,,,9.0,,,2,11,1,calinski_harabasz,8
null,,,9.0,,,2,11,1,davies_bouldin,8
null,,,9.0,,,2,11,1,decluster_dip,1
null,,,9.0,,,2,11,1,ess_dip,1
null,,,9.0,,,2,11,1,ess_dip_detrend,1
null,,,9.0,,,2,11,1,ess_dip_adaptive,1
null,,,9.0,,,2,11,1,ess_dip_local,1
null,,,9.0,,,2,13,1,classical_gap,8
null,,,9.0,,,2,13,1,silhouette,6
null,,,9.0,,,2,13,1,calinski_harabasz,5
null,,,9.0,,,2,13,1,davies_bouldin,7
null,,,9.0,,,2,13,1,decluster_dip,1
null,,,9.0,,,2,13,1,ess_dip,1
null,,,9.0,,,2,13,1,ess_dip_detrend,1
null,,,9.0,,,2,13,1,ess_dip_adaptive,1
null,,,9.0,,,2,13,1,ess_dip_local,1
null,,,9.0,,,2,8,1,classical_gap,8
null,,,9.0,,,2,8,1,silhouette,5
