kind,truth_k,method,k_hat
mixed,3,SGS-Dip,7
mixed,3,SGS-Dip,4
mixed,3,SGS-Dip,3
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,8
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,5
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,4
mixed,3,SGS-Dip,8
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,8
mixed,3,SGS-Dip,8
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,5
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,7
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,7
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,5
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,5
mixed,4,SGS-Dip,5
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,5
mixed,4,SGS-Dip,4
mixed,4,SGS-Dip,6
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,8
mixed,4,SGS-Dip,7
